rank,gid,role,priority_score,why,source
1,100000004400305100,distributor,0.89798829,Признаки распределения: 82 получателей  5 830 181 KZT исходящих; 101 переводов.,real
2,100000000331309100,distributor,0.89753149,Признаки распределения: 99 получателей  23 001 375 KZT исходящих; 126 переводов.,real
3,100000008603629100,distributor,0.89232574,Признаки распределения: 61 получателей  4 986 156 KZT исходящих; 74 переводов.,real
4,100000008748914100,distributor,0.89175621,Признаки распределения: 13 получателей  4 471 847 KZT исходящих; 21 переводов.,real
5,100000002957787100,distributor,0.88335095,Признаки распределения: 34 получателей  1 276 154 KZT исходящих; 41 переводов.,real
6,100000004351795100,distributor,0.87563811,Признаки распределения: 14 получателей  1 715 161 KZT исходящих; 37 переводов.,real
7,100000008346837100,distributor,0.87265192,Признаки распределения: 25 получателей  1 258 643 KZT исходящих; 26 переводов.,real
8,100000000437046100,distributor,0.87082062,Признаки распределения: 42 получателей  7 606 224 KZT исходящих; 73 переводов.,real
9,100000003880331100,distributor,0.86838687,Признаки распределения: 16 получателей  3 904 908 KZT исходящих; 31 переводов.,real
10,100000008304139100,distributor,0.86831306,Признаки распределения: 24 получателей  1 692 997 KZT исходящих; 43 переводов.,real
11,100000004070318100,distributor,0.86747127,Признаки распределения: 19 получателей  551 860 KZT исходящих; 37 переводов.,real
12,100000008477350100,distributor,0.86415675,Признаки распределения: 39 получателей  3 374 866 KZT исходящих; 44 переводов.,real
13,100000002723538100,distributor,0.86389179,Признаки распределения: 12 получателей  560 499 KZT исходящих; 14 переводов.,real
14,100000008413748100,distributor,0.86334430,Признаки распределения: 18 получателей  1 377 320 KZT исходящих; 21 переводов.,real
15,100000005933757100,distributor,0.85812401,Признаки распределения: 34 получателей  3 002 628 KZT исходящих; 46 переводов.,real
16,100000001857829100,distributor,0.85782174,Признаки распределения: 16 получателей  2 390 993 KZT исходящих; 16 переводов.,real
17,100000005910114100,distributor,0.85408785,Признаки распределения: 19 получателей  1 469 993 KZT исходящих; 56 переводов.,real
18,100000004156082100,distributor,0.83795690,Признаки распределения: 26 получателей  2 319 556 KZT исходящих; 29 переводов.,real
19,100000005782781100,distributor,0.83561463,Признаки распределения: 10 получателей  1 263 597 KZT исходящих; 10 переводов.,real
20,100000003115284100,consolidator,0.83140041,Признаки консолидации: 8 отправителей  2 160 500 KZT входящих  2 получателей.,real
21,100000004847758100,distributor,0.83027764,Признаки распределения: 15 получателей  488 800 KZT исходящих; 23 переводов.,real
22,100000005704413100,distributor,0.82962760,Признаки распределения: 32 получателей  1 363 593 KZT исходящих; 35 переводов.,real
23,100000004390333100,distributor,0.82796464,Признаки распределения: 9 получателей  506 500 KZT исходящих; 14 переводов.,real
24,100000003242289100,distributor,0.82736037,Признаки распределения: 23 получателей  2 377 741 KZT исходящих; 26 переводов.,real
25,100000003854444100,distributor,0.82695753,Признаки распределения: 14 получателей  2 322 909 KZT исходящих; 14 переводов.,real
26,100000006707582100,distributor,0.82448117,Признаки распределения: 14 получателей  961 138 KZT исходящих; 15 переводов.,real
27,100000003796063100,distributor,0.82265763,Признаки распределения: 15 получателей  959 150 KZT исходящих; 23 переводов.,real
28,100000008686313100,distributor,0.82048291,Признаки распределения: 7 получателей  333 800 KZT исходящих; 13 переводов.,real
29,100000008547948100,distributor,0.81866713,Признаки распределения: 26 получателей  5 185 600 KZT исходящих; 31 переводов.,real
30,100000007639767100,distributor,0.81821047,Признаки распределения: 10 получателей  822 244 KZT исходящих; 13 переводов.,real
31,100000004403675100,coordinator,0.81736994,Кандидат в координаторы: 9 связей  32 связанных seed; 44% связей между кластерами.,real
32,100000008489922100,distributor,0.81360314,Признаки распределения: 36 получателей  3 789 900 KZT исходящих; 41 переводов.,real
33,100000004150593100,distributor,0.81336099,Признаки распределения: 11 получателей  871 165 KZT исходящих; 16 переводов.,real
34,100000007594394100,consolidator,0.81191092,Признаки консолидации: 6 отправителей  395 385 KZT входящих  1 получателей.,real
35,100000008636603100,distributor,0.81164285,Признаки распределения: 6 получателей  159 375 KZT исходящих; 7 переводов.,real
36,100000008512552100,distributor,0.81130876,Признаки распределения: 6 получателей  1 302 275 KZT исходящих; 11 переводов.,real
37,100000006866783100,distributor,0.80706205,Признаки распределения: 67 получателей  3 948 037 KZT исходящих; 90 переводов. Seed: вход неполон.,real
38,100000005578559100,distributor,0.80431142,Признаки распределения: 21 получателей  893 164 KZT исходящих; 23 переводов.,real
39,100000008165763100,distributor,0.79980352,Признаки распределения: 17 получателей  1 267 858 KZT исходящих; 17 переводов.,real
40,100000008466579100,distributor,0.79980051,Признаки распределения: 17 получателей  1 933 000 KZT исходящих; 20 переводов.,real
41,100000003213473100,distributor,0.79887017,Признаки распределения: 11 получателей  240 000 KZT исходящих; 12 переводов.,real
42,100000008547844100,distributor,0.79618766,Признаки распределения: 19 получателей  2 042 199 KZT исходящих; 21 переводов.,real
43,100000004140487100,distributor,0.79524700,Признаки распределения: 10 получателей  262 600 KZT исходящих; 19 переводов.,real
44,100000008137435100,distributor,0.79181615,Признаки распределения: 6 получателей  1 419 700 KZT исходящих; 7 переводов.,real
45,100000003684369100,distributor,0.79128543,Признаки распределения: 62 получателей  8 588 655 KZT исходящих; 67 переводов. Seed: вход неполон.,real
46,100000000661912100,coordinator,0.79012519,Кандидат в координаторы: 7 связей  32 связанных seed; 29% связей между кластерами.,real
47,100000008389800100,distributor,0.78466755,Признаки распределения: 7 получателей  401 620 KZT исходящих; 8 переводов.,real
48,100000004015047100,consolidator,0.78425776,Признаки консолидации: 9 отправителей  919 104 KZT входящих  1 получателей.,real
49,100000008731444100,distributor,0.77847631,Признаки распределения: 9 получателей  879 768 KZT исходящих; 9 переводов.,real
50,100000003016635100,distributor,0.77765971,Признаки распределения: 73 получателей  9 414 081 KZT исходящих; 151 переводов. Seed: вход неполон.,real
51,100000005048668100,distributor,0.77654936,Признаки распределения: 8 получателей  159 400 KZT исходящих; 11 переводов.,real
52,100000008465789100,distributor,0.77276774,Признаки распределения: 16 получателей  1 858 100 KZT исходящих; 17 переводов.,real
53,100000004679953100,terminal,0.77097952,Наблюдаемый получатель: вход 343 538 KZT от 3 отправителей; исходящий поток 34 100 KZT. Полный баланс неизвестен.,real
54,100000003178549100,coordinator,0.77095240,Кандидат в координаторы: 6 связей  32 связанных seed; 67% связей между кластерами.,real
55,100000008730846100,transit,0.76746027,Признаки транзита: 7 отправителей → 3 получателей; 100% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
56,100000007593823100,distributor,0.76251993,Признаки распределения: 13 получателей  162 900 KZT исходящих; 21 переводов.,real
57,100000006889963100,consolidator,0.76163514,Признаки консолидации: 4 отправителей  1 431 000 KZT входящих  1 получателей.,real
58,100000007442518100,distributor,0.75846228,Признаки распределения: 9 получателей  4 419 999 KZT исходящих; 12 переводов.,real
59,100000008121806100,transit,0.75315695,Признаки транзита: 1 отправителей → 4 получателей; 75% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
60,100000005665181100,distributor,0.74851924,Признаки распределения: 11 получателей  181 915 KZT исходящих; 11 переводов.,real
61,100000008111003100,consolidator,0.74559477,Признаки консолидации: 6 отправителей  222 716 KZT входящих  1 получателей.,real
62,100000008632060100,distributor,0.74536279,Признаки распределения: 9 получателей  339 200 KZT исходящих; 12 переводов.,real
63,100000002963189100,distributor,0.74485517,Признаки распределения: 7 получателей  5 219 000 KZT исходящих; 15 переводов.,real
64,100000002306369100,distributor,0.74476689,Признаки распределения: 6 получателей  260 900 KZT исходящих; 9 переводов.,real
65,100000006579678100,distributor,0.74362418,Признаки распределения: 6 получателей  1 668 800 KZT исходящих; 15 переводов.,real
66,100000005074393100,distributor,0.73976631,Признаки распределения: 6 получателей  685 500 KZT исходящих; 10 переводов.,real
67,100000000089154100,distributor,0.73959647,Признаки распределения: 15 получателей  425 500 KZT исходящих; 21 переводов.,real
68,100000005287097100,distributor,0.73864361,Признаки распределения: 9 получателей  697 300 KZT исходящих; 42 переводов.,real
69,100000008710791100,distributor,0.73709814,Признаки распределения: 23 получателей  5 521 511 KZT исходящих; 25 переводов.,real
70,100000008710843100,distributor,0.73578116,Признаки распределения: 13 получателей  1 985 500 KZT исходящих; 14 переводов.,real
71,100000008104567100,coordinator,0.73478428,Кандидат в координаторы: 6 связей  32 связанных seed; 50% связей между кластерами.,real
72,100000005339662100,transit,0.73464232,Признаки транзита: 4 отправителей → 4 получателей; 39% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
73,100000008733194100,distributor,0.73406641,Признаки распределения: 8 получателей  159 695 KZT исходящих; 8 переводов.,real
74,100000008460102100,distributor,0.73309574,Признаки распределения: 31 получателей  476 570 KZT исходящих; 34 переводов.,real
75,100000005612411100,distributor,0.73219649,Признаки распределения: 8 получателей  506 997 KZT исходящих; 8 переводов.,real
76,100000004569484100,coordinator,0.73202873,Кандидат в координаторы: 6 связей  32 связанных seed; 50% связей между кластерами.,real
77,100000004759121100,consolidator,0.73156185,Признаки консолидации: 6 отправителей  710 000 KZT входящих  2 получателей.,real
78,100000000343175100,distributor,0.73070005,Признаки распределения: 31 получателей  4 000 039 KZT исходящих; 33 переводов. Seed: вход неполон.,real
79,100000002398779100,consolidator,0.72911861,Признаки консолидации: 13 отправителей  1 095 690 KZT входящих  1 получателей.,real
80,100000007864477100,distributor,0.72836085,Признаки распределения: 6 получателей  203 500 KZT исходящих; 10 переводов.,real
81,100000002894076100,consolidator,0.72763083,Признаки консолидации: 4 отправителей  1 122 782 KZT входящих  0 получателей.,real
82,100000001660397100,transit,0.72750840,Признаки транзита: 2 отправителей → 3 получателей; 25% входящих сопоставлены с более поздними исходящими за ≤2 суток.,real
